mpa_status,hab_desc,mu,mu_rr
FALSE,intertidal habitats,0.1112294119842861,0.09796500158129208
FALSE,seagrass,0.10319889098600867,0.08730157043286317
FALSE,mangroves,0.08729663174049702,0.08768575282707575
FALSE,kelp forest,0.14042993711493976,0.123060854925229
FALSE,coral reef,0.10091128857188325,0.07768306187467211
FALSE,rocky reef,0.10979515627548736,0.08287853093485897
FALSE,shallow sandy bottom,0.12192438063848741,0.10921296413914956
FALSE,soft shelf,0.13219108722662087,0.11289777308389122
FALSE,hard shelf,0.11886838934630439,0.08407590692487073
FALSE,sea ice edge,0.13173039170585052,0.10307148565824158
FALSE,oceanic waters,0.18712241521429737,0.18306177211079408
TRUE,intertidal habitats,0.1171910096901795,0.10711090840547477
TRUE,seagrass,0.09009635261863888,0.06374107084563119
TRUE,mangroves,0.08264767065244927,0.08047781500538667
TRUE,kelp forest,0.10570243681598551,0.07629769735381826
TRUE,coral reef,0.0986572023800358,0.07313585547823932
TRUE,rocky reef,0.10804339393228997,0.08053201234669996
TRUE,shallow sandy bottom,0.10578302117844515,0.05613876764174331
TRUE,soft shelf,0.12579998133346515,0.1027218483475847
TRUE,hard shelf,0.1270808682555054,0.10430041817448849
TRUE,sea ice edge,0.11793204656657157,0.0768345853258317
TRUE,oceanic waters,0.16820403575938128,0.1461335562300822
