hab,hab_desc_raw,hab_desc,order
beach_10km.tif,beach,intertidal habitats,1
seagrass_10km.tif,seagrass,seagrass,2
mangroves_10km.tif,mangroves,mangroves,3
kelp_10km.tif,kelp,kelp forest,4
coral_reef_10km.tif,coral reef,coral reef,5
rocky_reef_10km.tif,rocky reef,rocky reef,6
s_t_s_bottom_10km.tif,shallow sandy bottom,shallow sandy bottom,7
soft_shelf_10km.tif,soft shelf,soft shelf,8
hard_shelf_10km.tif,hard shelf,hard shelf,9
ice_10km.tif,sea ice edge,sea ice edge,10
surface_waters_10km.tif,surface waters,oceanic waters,11
deep_waters_10km.tif,deep waters,deep waters,NA
d_h_bottom_10km.tif,deep hard bottom,deep hard bottom,NA
d_s_benthic_10km.tif,deep soft benthic,deep soft benthic,NA
hard_slope_10km.tif,hard slope,hard slope,NA
inttidalmud_10km.tif,intertidal mud,intertidal habitats,NA
rky_intidal_10km.tif,rocky intertidal,intertidal habitats,NA
salt_marsh_10km.tif,salt marsh,intertidal habitats,NA
seamounts_10km.tif,seamounts,seamounts,NA
soft_slope_10km.tif,soft slope,soft slope,NA
suspension_reef_10km.tif,suspension reef,intertidal habitats,NA
