iucn_rgn,lme_id,priority
western_africa,28,1
gulf_of_mexico,5,1
persian_gulf,32,1
central_africa,28,2
central_africa,29,2
northeastern_africa,32,2
northeastern_africa,33,2
southern_africa,29,2
southern_africa,30,2
eastern_africa,30,2
eastern_africa,31,2
mediterranean,26,2
mediterranean,62,2
northern_africa,26,3
northern_africa,27,3
northern_africa,33,3
europe,20,8
europe,21,8
europe,22,8
europe,23,8
europe,24,8
europe,25,8
europe,26,8
europe,59,8
pan-africa,26,8
pan-africa,27,8
pan-africa,28,8
pan-africa,29,8
pan-africa,30,8
pan-africa,31,8
pan-africa,32,8
pan-africa,33,8
global,1,66
global,2,66
global,3,66
global,4,66
global,5,66
global,6,66
global,7,66
global,8,66
global,9,66
global,10,66
global,11,66
global,12,66
global,13,66
global,14,66
global,15,66
global,16,66
global,17,66
global,18,66
global,19,66
global,20,66
global,21,66
global,22,66
global,23,66
global,24,66
global,25,66
global,26,66
global,27,66
global,28,66
global,29,66
global,30,66
global,31,66
global,32,66
global,33,66
global,34,66
global,35,66
global,36,66
global,37,66
global,38,66
global,39,66
global,40,66
global,41,66
global,42,66
global,43,66
global,44,66
global,45,66
global,46,66
global,47,66
global,48,66
global,49,66
global,50,66
global,51,66
global,52,66
global,53,66
global,54,66
global,55,66
global,56,66
global,57,66
global,58,66
global,59,66
global,60,66
global,61,66
global,62,66
global,63,66
global,64,66
global,65,66
global,66,66
