group,n_spp,time
ANGELFISH.shp,86,15.466999999998734
BONEFISH_TARPONS.shp,22,4.6159999999999854
CHONDRICHTHYES.shp,1128,200.9400000000005
CORALS_PART_3.shp,17,3.3770000000004075
DAMSELFISH.shp,127,21.599999999998545
HAGFISH.shp,75,11.03399999999965
MANGROVES.shp,77,16.230000000001382
MARINEFISH_PART_1.shp,874,152.4489999999987
MARINE_MAMMALS.shp,167,53.875
SEABREAMS_PORGIES.shp,151,24.584999999999127
SEAGRASSES.shp,74,13.679000000000087
SEASNAKES.shp,60,10.819999999999709
SURGEONFISH_TANGS_UNICORNFISH.shp,85,16.79399999999987
