x,y,cell_id
-0.549999999999983,63.849999999999994,941395
-0.3499999999999943,63.25,962997
-0.549999999999983,61.95,1009795
-0.6499999999999773,60.95,1045794
-151.55,60.45,1062285
-152.45,58.95,1116276
-151.75,58.65,1127083
36.650000000000006,44.65,1632967
36.45000000000002,43.949999999999996,1658165
9.850000000000023,37.949999999999996,1873899
9.350000000000023,37.449999999999996,1891894
9.550000000000011,37.25,1899096
5.75,36.949999999999996,1909858
-121.85,36.75,1915782
-122.85,36.65,1919372
-123.05,36.449999999999996,1926570
0.35000000000002274,36.449999999999996,1927804
-123.44999999999999,36.349999999999994,1930166
13.550000000000011,36.25,1935136
14.850000000000023,36.05,1942349
14.550000000000011,35.849999999999994,1949546
-114.45,31.349999999999994,2110256
-114.05,30.949999999999996,2124660
-117.94999999999999,28.849999999999994,2200221
-117.05,28.849999999999994,2200230
-116.55,28.75,2203835
-115.75,28.549999999999997,2211043
-114.35,28.25,2221857
95.65000000000003,2.6499999999999915,3145557
93.44999999999999,2.4499999999999886,3152735
95.55000000000001,2.4499999999999886,3152756
88.25,1.9499999999999886,3170683
-89.64999999999999,-0.25,3248104
-90.25,-0.9500000000000028,3273298
-88.94999999999999,-1.25,3284111
-91.55,-2.5500000000000114,3330885
153.05,-4.3500000000000085,3398131
153.15000000000003,-4.3500000000000085,3398132
153.25,-4.3500000000000085,3398133
177.25,-17.650000000000006,3877173
176.25,-17.75,3880763
176.95000000000005,-17.85000000000001,3884370
44.05000000000001,-19.55000000000001,3944241
43.75,-20.150000000000006,3965838
43.55000000000001,-20.25,3969436
56.85000000000002,-20.35000000000001,3973169
57.05000000000001,-20.35000000000001,3973171
55.75,-21.35000000000001,4009158
55.75,-21.450000000000003,4012758
40.35000000000002,-22.35000000000001,4045004
40.35000000000002,-22.450000000000003,4048604
-12.149999999999977,-37.150000000000006,4577279
-12.149999999999977,-37.35000000000001,4584479
-11.449999999999989,-38.25,4616886
-176.05,-44.150000000000006,4827640
-175.75,-44.45000000000002,4838443
-175.45,-44.75,4849246
-175.15,-45.95000000000002,4892449
-68.94999999999999,-51.650000000000006,5098711
-68.85,-51.650000000000006,5098712
