hab,hab_desc
beach_10km.tif,beach
coral_reef_10km.tif,coral reef
deep_waters_10km.tif,deep waters
d_h_bottom_10km.tif,deep hard bottom
d_s_benthic_10km.tif,deep soft benthic
hard_shelf_10km.tif,hard shelf
hard_slope_10km.tif,hard slope
ice_10km.tif,sea ice
inttidalmud_10km.tif,intertidal mud
kelp_10km.tif,kelp
mangroves_10km.tif,mangroves
rky_intidal_10km.tif,rocky intertidal
rocky_reef_10km.tif,rocky reef
salt_marsh_10km.tif,salt marsh
seagrass_10km.tif,seagrass
seamounts_10km.tif,seamounts
soft_shelf_10km.tif,soft shelf
soft_slope_10km.tif,soft slope
s_t_s_bottom_10km.tif,shallow sandy bottom
surface_waters_10km.tif,surface waters
suspension_reef_10km.tif,suspension reef
