prov,province,rlm,realm,lat_zone
1,Arctic,1,Arctic,Polar
2,Northern European Seas,2,Temperate Northern Atlantic,Temperate
3,Lusitanian,2,Temperate Northern Atlantic,Temperate
4,Mediterranean Sea,2,Temperate Northern Atlantic,Temperate
5,Cold Temperate Northwest Atlantic,2,Temperate Northern Atlantic,Temperate
6,Warm Temperate Northwest Atlantic,2,Temperate Northern Atlantic,Temperate
7,Black Sea,2,Temperate Northern Atlantic,Temperate
8,Cold Temperate Northwest Pacific,3,Temperate Northern Pacific,Temperate
9,Warm Temperate Northwest Pacific,3,Temperate Northern Pacific,Temperate
10,Cold Temperate Northeast Pacific,3,Temperate Northern Pacific,Temperate
11,Warm Temperate Northeast Pacific,3,Temperate Northern Pacific,Temperate
12,Tropical Northwestern Atlantic,4,Tropical Atlantic,Tropical
13,North Brazil Shelf,4,Tropical Atlantic,Tropical
14,Tropical Southwestern Atlantic,4,Tropical Atlantic,Tropical
15,St. Helena and Ascension Islands,4,Tropical Atlantic,Tropical
16,West African Transition,4,Tropical Atlantic,Tropical
17,Gulf of Guinea,4,Tropical Atlantic,Tropical
17,Gulf of Guinea,4,Tropical Atlantic,Temperate
18,Red Sea and Gulf of Aden,5,Western Indo-Pacific,Tropical
19,Somali/Arabian,5,Western Indo-Pacific,Tropical
20,Western Indian Ocean,5,Western Indo-Pacific,Tropical
21,West and South Indian Shelf,5,Western Indo-Pacific,Tropical
22,Central Indian Ocean Islands,5,Western Indo-Pacific,Tropical
23,Bay of Bengal,5,Western Indo-Pacific,Tropical
24,Andaman,5,Western Indo-Pacific,Tropical
25,South China Sea,6,Central Indo-Pacific,Tropical
26,Sunda Shelf,6,Central Indo-Pacific,Tropical
27,Java Transitional,6,Central Indo-Pacific,Tropical
28,South Kuroshio,6,Central Indo-Pacific,Tropical
29,Tropical Northwestern Pacific,6,Central Indo-Pacific,Tropical
30,Western Coral Triangle,6,Central Indo-Pacific,Tropical
31,Eastern Coral Triangle,6,Central Indo-Pacific,Tropical
32,Sahul Shelf,6,Central Indo-Pacific,Tropical
33,Northeast Australian Shelf,6,Central Indo-Pacific,Tropical
34,Northwest Australian Shelf,6,Central Indo-Pacific,Tropical
35,Tropical Southwestern Pacific,6,Central Indo-Pacific,Tropical
36,Lord Howe and Norfolk Islands,6,Central Indo-Pacific,Tropical
37,Hawaii,7,Eastern Indo-Pacific,Tropical
38,"Marshall, Gilbert and Ellis Islands",7,Eastern Indo-Pacific,Tropical
39,Central Polynesia,7,Eastern Indo-Pacific,Tropical
40,Southeast Polynesia,7,Eastern Indo-Pacific,Tropical
41,Marquesas,7,Eastern Indo-Pacific,Tropical
42,Easter Island,7,Eastern Indo-Pacific,Tropical
43,Tropical East Pacific,8,Tropical Eastern Pacific,Tropical
44,Galapagos,8,Tropical Eastern Pacific,Tropical
45,Warm Temperate Southeastern Pacific,9,Temperate South America,Temperate
46,Juan Fernandez and Desventuradas,9,Temperate South America,Temperate
47,Warm Temperate Southwestern Atlantic,9,Temperate South America,Temperate
48,Magellanic,9,Temperate South America,Temperate
49,Tristan Gough,9,Temperate South America,Temperate
50,Benguela,10,Temperate Southern Africa,Temperate
51,Agulhas,10,Temperate Southern Africa,Temperate
52,Amsterdam-St Paul,10,Temperate Southern Africa,Temperate
53,Northern New Zealand,11,Temperate Australasia,Temperate
54,Southern New Zealand,11,Temperate Australasia,Temperate
55,East Central Australian Shelf,11,Temperate Australasia,Temperate
56,Southeast Australian Shelf,11,Temperate Australasia,Temperate
57,Southwest Australian Shelf,11,Temperate Australasia,Temperate
58,West Central Australian Shelf,11,Temperate Australasia,Temperate
59,Subantarctic Islands,12,Southern Ocean,Polar
60,Scotia Sea,12,Southern Ocean,Polar
61,Continental High Antarctic,12,Southern Ocean,Polar
62,Subantarctic New Zealand,12,Southern Ocean,Polar
