shp_iucn_sid,sciname,shp_subpop,api_iucn_sid,api_subpop
18175,Pristis pectinata,Pristis pectinata Eastern Atlantic,43398244,Eastern Atlantic subpopulation
18175,Pristis pectinata,Pristis pectinata Western Atlantic,43398250,Western Atlantic subpopulation
41878,Stegostoma fasciatum,Eastern Indonesian-Oceania subpopulation,71711344,Eastern Indonesian-Oceania subpopulation
41878,Stegostoma fasciatum,Indian Ocean-Southeast Asian subpopulation,71711476,Indian Ocean-Southeast Asian subpopulation
42838,Centrophorus moluccensis,Centrophorus moluccensis (Eastern Australian),16727327,Eastern Australian subpopulation
42838,Centrophorus moluccensis,Centrophorus moluccensis (Western Australian),16727330,Western Australian subpopulation
18584848,Pristis pristis,Pristis pristis Eastern Atlantic subpopulation,43508842,Eastern Atlantic subpopulation
18584848,Pristis pristis,Pristis pristis Eastern Pacific subpopulation,43508949,Eastern Pacific subpopulation
18584848,Pristis pristis,Pristis pristis Indo-west Pacific subpopulation,43508905,Indo-West Pacific subpopulation
18584848,Pristis pristis,Pristis pristis Western Atlantic subpopulation,43508845,Western Atlantic subpopulation
2476,Balaenoptera edeni,Gulf of Mexico,117636167,Gulf of Mexico subpopulation
6335,Delphinapterus leucas,Cook Inlet,61442,Cook Inlet subpopulation
9660,Halichoerus grypus,Baltic sea subpopulation,74491261,Baltic Sea subpopulation
17027,Phocoena phocoena,Baltic Sea,17031,Baltic Sea subpopulation
8097,Eschrichtius robustus,Western,8099,western subpopulation
6336,Delphinus delphis,Mediterranean,41762,Mediterranean subpopulation
2055,Arctocephalus australis,Peruvian/Northern Chilean,72050476,Peruvian/Northern Chilean subpopulation
22563,Tursiops truncatus,Fiordland,194300,Fiordland subpopulation
2467,Balaena mysticetus,Bering-Chukchi-Beaufort Sea,2468,Bering-Chukchi-Beaufort Sea subpopulation
2467,Balaena mysticetus,Okhotsk Sea,2469,Okhotsk Sea subpopulation
2467,Balaena mysticetus,Svalbard-Barents Sea (Spitsbergen),2472,Svalbard-Barents Sea (Spitsbergen) subpopulation
6494,Dermochelys coriacea,East Pacific,46967807,East Pacific Ocean subpopulation
6494,Dermochelys coriacea,Northeast Indian,46967873,Northeast Indian Ocean subpopulation
6494,Dermochelys coriacea,Northwest Atlantic,46967827,Northwest Atlantic Ocean subpopulation
6494,Dermochelys coriacea,Southeast Atlantic,46967848,Southeast Atlantic Ocean subpopulation
6494,Dermochelys coriacea,Southwest Atlantic,46967838,Southwest Atlantic Ocean subpopulation
6494,Dermochelys coriacea,Southwest Indian,46967863,Southwest Indian Ocean subpopulation
6494,Dermochelys coriacea,West Pacific,46967817,West Pacific Ocean subpopulation
3897,Caretta caretta,Atlantic Notheast,83776383,North East Atlantic subpopulation
3897,Caretta caretta,Atlantic Northwest,84131194,North West Atlantic subpopulation
3897,Caretta caretta,Atlantic Southwest,84191235,South West Atlantic subpopulation
3897,Caretta caretta,Indian Northeast,84126444,North East Indian Ocean subpopulation
3897,Caretta caretta,Indian Southwest,84199475,South West Indian Ocean subpopulation
3897,Caretta caretta,Pacific North,83652278,North Pacific subpopulation
3897,Caretta caretta,Indian Northwest,84127873,North West Indian Ocean subpopulation
3897,Caretta caretta,Indian Southeast,84189617,South East Indian Ocean subpopulation
3897,Caretta caretta,Mediterranean,83644804,Mediterranean subpopulation
3897,Caretta caretta,Pacific South,84156809,South Pacific subpopulation
