shp_base,taxon
acipenseriformes,Chordata: Actinopterygii
angelfish,Chordata: Actinopterygii
atheriniformes,Chordata: Actinopterygii
aulopiformes,Chordata: Actinopterygii
batrachoidiformes,Chordata: Actinopterygii
beloniformes,Chordata: Actinopterygii
beryciformes,Chordata: Actinopterygii
bli_marine_v2017,Chordata: Aves
bonefish_tarpons,Chordata: Actinopterygii
butterflyfish,Chordata: Actinopterygii
cetomimiformes,Chordata: Actinopterygii
chondrichthyes,Chordata: Chondrichthyes
clupeiformes,Chordata: Actinopterygii
combtoothblennies,Chordata: Actinopterygii
conus,Mollusca
corals,Cnidaria
crocodiles,Chordata: Reptilia
cyprinodontiformes,Chordata: Actinopterygii
damselfish,Chordata: Actinopterygii
gadiformes,Chordata: Actinopterygii
gobiesociformes,Chordata: Actinopterygii
groupers,Chordata: Actinopterygii
hagfish,Chordata: Myxini
lampriformes,Chordata: Actinopterygii
lobsters,Arthropoda
lophiiformes,Chordata: Actinopterygii
mangroves,Tracheophyta
marine_mammals,Chordata: Mammalia
mugiliformes,Chordata: Actinopterygii
myctophiformes,Chordata: Actinopterygii
notacanthiformes,Chordata: Actinopterygii
ophidiiformes,Chordata: Actinopterygii
pufferfish,Chordata: Actinopterygii
reptiles,Chordata: Reptilia
saccopharyngiformes,Chordata: Actinopterygii
seabreams_porgies,Chordata: Actinopterygii
seacucumbers,Echinodermata
seagrasses,Tracheophyta
seasnakes,Chordata: Reptilia
stomiiformes,Chordata: Actinopterygii
surgeonfish_tangs_unicornfish,Chordata: Actinopterygii
terrestrial_mammals,Chordata: Mammalia
tunas_billfishes,Chordata: Actinopterygii
wrasse,Chordata: Actinopterygii
